name,affiliated_committee_name,committee_id
JAMIAN MCELROY AND HAMLIN LLC PAC,,C00486324
U.S. BANCORP FEDERAL POLITICAL ACTION COMMITTEE,U.S. BANCORP POLITICAL PARTICIPATION PROGRAM,C00488882
MBDA INCORPORATED POLITICAL ACTION COMMITTEE,MBDA INCORPORATED,C00490037
WEYERHAEUSER COMPANY POLITICAL ACTION COMMITTEE,WEYERHAEUSER COMPANY,C00007948
NORFOLK SOUTHERN CORPORATION GOOD GOVERNMENT FUND,NORFOLK SOUTHERN CORPORATION,C00009282
NORTHERN TRUST CORPORATION POLITICAL ACTION COMMITTEE (NORTHERN TRUST PAC),NORTHERN TRUST CORPORATION FEDERAL POLITICAL ACTION COMMITTEE,C00024935
SYNOVUS FINANCIAL CORP. FUND FOR EFFECTIVE LEADERSHIP,SYNOVUS FINANCIAL CORP.,C00032607
WELLS FARGO AND COMPANY EMPLOYEE PAC (AKA WELLS FARGO EMPLOYEE PAC),WELLS FARGO AND COMPANY,C00034595
CHEVRON EMPLOYEES POLITICAL ACTION COMMITTEE - CHEVRON CORPORATION,CHEVRON EMPLOYEES POLITICAL ACTION COMMITTEE - CHEVRON CORPORATION,C00035006
"BIPARTISAN VOLUNTARY PUBLIC AFFAIRS COMMITTEE OF THE PNC FINANCIAL SERVICES GROUP, INC. (PNC PAC)","FEDERAL BIPARTISAN VOLUNTARY PUBLIC AFFAIRS COMMITTEE OF THE PNC FINANCIAL SERVICES GROUP, INC. (PNC",C00035519
"EMIGRANT BANCORP, INC. POLITICAL ACTION COMMITTEE","EMIGRANT BANCORP, INC.",C00648345
APL MARITIME LTD. PAC,"APL MARITIME, LTD.",C00654939
"THE CENTER FOR INTERNATIONAL EDUCATION, INC POLITICAL ACTION COMMITTEE","THE CENTER FOR INTERNATIONAL EDUCATION, INC",C00659508
"NEXTERA ENERGY, INC. POLITICAL ACTION COMMITTEE","NEXTERA ENERGY, INC",C00064774
SO IT HAS COME TO THIS,JOYFUL NOISE RECORDINGS LLC,C00687798
SOUTHWEST GAS CORPORATION POLITICAL ACTION COMMITTEE,SOUTHWEST GAS CORPORATION,C00076737
CARRIER GLOBAL CORPORATION POLITICAL ACTION COMMITTEE,UNITED TECHNOLOGIES CORPORATION POLITICAL ACTION COMMITTEE,C00740704
MARINER FINANCE LLC POLITICAL ACTION COMMITTEE,MARINER FINANCE LLC,C00757823
"ANDURIL INDUSTRIES, INC. POLITICAL ACTION COMMITTEE (ANDURIL PAC)","ANDURIL INDUSTRIES, INC.",C00763623
"HDR, INC. EMPLOYEE OWNERS PAC","HDR, INC.",C00103903
CHICAGO BRIDGE & IRON COMPANY POLITICAL ACTION COMMITTEE,CHICAGO BRIDGE & IRON COMPANY,C00104885
CONTINENTAL GRAIN COMPANY POLITICAL ACTION COMMITTEE,WAYNE FARMS POLITICAL ACTION COMMITTEE,C00155853
"CALCOT, LTD. FEDERAL POLITICAL ACTION COMMITTEE","CALCOT, LTD. FEDERAL POLITICAL ACTION COMMITTEE",C00172775
WINSTEAD PC POLITICAL ACTION COMMITTEE,WINSTEAD PC,C00194555
THE NORTHWESTERN MUTUAL LIFE INSURANCE COMPANY FEDERAL PAC,THE NORTHWESTERN MUTUAL LIFE INSURANCE COMPANY,C00197095
THE BRINK'S COMPANY POLITICAL ACTION COMMITTEE,THE BRINK'S COMPANY,C00207472
LONE ROCK TIMBER MANAGEMENT COMPANY POLITICAL ACTION COMMITTEE (LONE ROCK PAC),,C00126789
"AIR PRODUCTS AND CHEMICALS, INC. POLITICAL ALLIANCE","AIR PRODUCTS AND CHEMICALS, INC.",C00127258
"S. C. JOHNSON & SON, INC POLITICAL ACTION COMMITTEE","S.C. JOHNSON & SON, INC.",C00342246
BOK FINANCIAL CORPORATION POLITICAL ACTION COMMITTEE,BOK FINANCIAL CORP.,C00351924
TRIUMPH GROUP INC PAC,TRIUMPH GROUP INC,C00361949
ANALYTICAL GRAPHICS INC PAC (AGI PAC),ANALYTICAL GRAPHICS INC,C00370023
"RADIANCE TECHNOLOGIES, INC. POLITICAL ACTION COMMITTEE",NONE,C00372979
NORTONLIFELOCK INC PAC,NORTONLIFELOCK INC,C00394031
PERFORMANT FINANCIAL CORPORATION POLITICAL ACTION COMMITTEE,PERFORMANT FINANCIAL CORPORATION,C00411199
"ONEAMERICA FINANCIAL PARTNERS, INC. PAC","ONEAMERICA FINANCIAL PARTNERS, INC. PAC",C00143164
REPUBLIC SVCS. INC. EMPLOYEES FOR BETTER GOVT. PAC,REPUBLIC SERVICES INC. (FKA ALLIED WASTE NA),C00428391
DOLLAR SAVINGS BANK POLITICAL ACTION COMMITTEE (DOLPAC),DOLLAR SAVINGS BANK,C00151563
THE WINNER'S CIRCLE POLITICAL ACTION COMMITTEE,THE WINNER'S CIRCLE,C00627125
KAREM AIRCRAFT INC. FEDERAL PAC,KAREM AIRCRAFT,C00623173
PLAINS COTTON GROWERS INC. PAC,"PLAINS COTTON GROWERS, INC.",C00599084
"URBAN ENGINEERS, INC. PAC","URBAN ENGINEERS, INC.",C00599001
NEW YORK LIFE INSURANCE COMPANY POLITICAL ACTION COMMITTEE,NEW YORK LIFE INSURANCE COMPANY,C00158881
MDU RESOURCES GROUP GOOD GOVERNMENT FUND,"MDU RESOURCES GROUP, INC.",C00163253
"THE PRIVATE INVESTOR COALITION, INC. POLITICAL ACTION COMMITTEE","THE PRIVATE INVESTOR COALITION, INC.",C00578096
ROTHMAN INSTITUTE PAC,ROTHMAN INSTITUTE,C00558700
"KPH HEALTHCARE SERVICES, INC. POLITICAL ACTION COMMITTEE",,C00549162
ALICE MANUFACTURING COMPANY INC POLITICAL ACTION COMMITTEE,ALICE MANUFACTURING COMPANY INC,C00167221
UNUM GROUP POLITICAL ACTION COMMITTEE (UNUMPAC),UNUM GROUP,C00177436
REGIONS FINANCIAL CORPORATION POLITICAL ACTION COMMITTEE,REGIONS FINANCIAL CORPORATION,C00432252
EISAI INC. PAC,EISAI INC.,C00429886
PINNACLE BANCORP INC. PAC,PINNACLE BANCORP INC.,C00427427
CBS CORPORATION POLITICAL ACTION COMMITTEE,CBS CORPORATION,C00423442
PRAGMATICS INCORPORATED POLITICAL ACTION COMMITTEE,PRAGMATICS INCORPORATED POLITICAL ACTION COMMITTEE,C00421487
PHARMAVITE LLC POLITICAL ACTION COMMITTEE (PHARMAVITE PAC),"OTSUKA AMERICA, INC.",C00410654
CBC COMPANIES INC PAC,CBC COMPANIES INC PAC,C00410001
BUNGE NORTH AMERICA INC POLITICAL ACTION COMMITTEE,"BUNGE NORTH AMERICA, INC.",C00401687
PRIDE MOBILITY PRODUCTS CORP PAC,PRIDE MOBILITY PRODUCTS CORP,C00388132
FAEGRE DRINKER POLITICAL ACTION COMMITTEE (FAEGRE DRINKER PAC),FAEGRE DRINKER POLITICAL ACTION COMMITTEE II (F/K/A DRINKER BIDDLE POLITICAL ACTION COMMITTEE),C00386904
BECTON DICKINSON AND COMPANY PAC,BECTON DICKINSON AND COMPANY PAC,C00376582
GROUP 1 AUTOMOTIVE INC. PAC,GROUP 1 AUTOMOTIVE INC,C00373837
ALEX LEE INC PAC,"ALEX LEE, INC.",C00371385
MEDTRONIC INC. PAC,MEDTRONIC INC.,C00311878
BUCHANAN INGERSOLL & ROONEY PC COMMITTEE FOR EFFECTIVE GOVERNMENT 'BIRPC PAC',BUCHANAN INGERSOLL & ROONEY PC,C00195388
ALTICE USA PAC,ALTICE USA,C00197863
SECOND FRONT SYSTEMS INC PAC,SECOND FRONT SYSTEMS INC,C00776880
MANTECH INTERNATIONAL CORPORATION POLITICAL ACTION COMMITTEE   ( A.K.A 'MANTECH PAC'),MANTECH INTERNATIONAL CORPORATION,C00208983
ORBIS TECHNOLOGIES FEDERAL PAC,ORBIS TECHNOLOGIES,C00696799
WESTERN AGRICULTURAL PROCESSORS ASSOCIATION FEDERAL PAC,WESTERN AGRICULTURAL PROCESSORS ASSOCIATION,C00683235
"AHOLD DELHAIZE USA, INC POLITICAL ACTION COMMITTEE","AHOLD DELHAIZE USA, INC.",C00214304
FMR LLC POLITICAL ACTION COMMITTEE STATE FEDERAL (FIDELITY PAC),FMR LLC,C00215046
ELECTRIC COOPERATIVES OF MISSISSIPPI ACTION COMMITTEE FOR RURAL ELECTRIFICATION,ELECTRIC POWER ASSOCIATIONS OF MS,C00004952
AZOA SERVICES CORPORATION POLITICAL ACTION COMMITTEE (ALLIANZ OF AMERICA PAC),AZOA SERVICES CORPORATION,C00095109
GRAND TRUNK WESTERN RAILROAD CO. - ILLINOIS CENTRAL RAILROAD CO. PAC (GTW-IC PAC),GRAND TRUNK WESTERN RAILROAD COMPANY,C00095117
JOHNSON CONTROLS INC. PAC,JOHNSON CONTROLS INC.,C00113753
BRINKER INTERNATIONAL INC. POLITICAL ACTION COMMITTEE,BRINKER INTERNATIONAL INC.,C00241851
RIO TINTO AMERICA INC. PAC,RIO TINTO AMERICA INC.,C00243675
GOVERNMENT PERSONNEL MUTUAL POLITICAL ACTION COMMITTEE (AKA GPM PAC),,C00236588
"SOUTHERN NUCLEAR OPERATING COMPANY, INC. PAC",SOUTHERN NUCLEAR OPERATING COMPANY,C00250407
"MAGELLAN HEALTH, INC. EMPLOYEE COMMITTEE FOR GOOD GOVERNMENT","MAGELLAN HEALTH, INC.",C00247262
"BROUSE & MCDOWELL, A LEGAL PROFESSIONAL ASSOCIATION FSL PAC","BROUSE & MCDOWELL, A LEGAL PROFESSIONAL ASSOCIATION FSL PAC",C00248047
EG AMERICA LLC POLITICAL ACTION COMMITTEE (EG AMERICA PAC),EG AMERICA LLC,C00779934
"DEXCOM, INC. POLITICAL ACTION COMMITTEE (DEXCOM PAC)","DEXCOM, INC.",C00770222
GOBRANDS INC. POLITICAL ACTION COMMITTEE,GOBRANDS INC.,C00757856
"GRAIL, INC. PAC","GRAIL, INC.",C00754648
GREAT-WEST LIFE & ANNUITY INSURANCE COMPANY POLITICAL ACTION COMMITTEE ('A GREAT-WEST FINANCIAL POLITICAL ACTION COMMITTEE'),GREAT-WEST LIFE & ANNUITY INSURANCE COMPANY,C00263723
HEARTLAND FUND PAC,HEARTLAND FUND INC.,C00736900
STE. MICHELLE WINE ESTATES LTD. POLITICAL ACTION COMMITTEE,STE. MICHELLE WINE ESTATES LTD.,C00270421
LEONARDO DRS PAC,LEONARDO DRS,C00275123
MONTGOMERY CARDIOVASCULAR ASSOCIATES PC PAC,MONTGOMERY CARDIOVASCULAR ASSOCIATES PC,C00280107
WINSTON & STRAWN LLP POLITICAL ACTION COMMITTEE,NONE,C00282921
NAVISTAR INC. GOOD GOVERNMENT COMMITTEE,"NAVISTAR, INC.",C00040840
AVIENT CORP. POLITICAL ACTION COMMITTEE,AVIENT CORP. POLITICAL ACTION COMMITTEE,C00288712
GENESEE & WYOMING INC. PAC,GENESEE & WYOMING INC.,C00289058
AO SMITH CORPORATION POLITICAL ACTION COMMITTEE (AOSPAC),NONE,C00104687
OCEAN SPRAY CRANBERRIES INC. POLITICAL ACTION COMMITTEE,"OCEAN SPRAY CRANBERRIES, INC",C00114702
FARMERS MUTUAL HAIL INS CO OF IOWA POLITICAL ACTION COMMITTEE (FMH PAC),,C00117614
MASSACHUSETTS CITIZENS FOR LIFE POLITICAL ACTION COMMITTEE,MASSACHUSETTS CITIZENS FOR LIFE INC,C00128520
